t_ms,x,y
0.000,0.081000,0.081000
50.000,0.081980,0.081000
100.000,0.082960,0.081000
150.000,0.083940,0.081000
200.000,0.084920,0.081000
250.000,0.085900,0.081000
300.000,0.086880,0.081000
350.000,0.087860,0.081000
400.000,0.088840,0.081000
450.000,0.089820,0.081000
500.000,0.090800,0.081000
550.000,0.091780,0.081000
600.000,0.092760,0.081000
650.000,0.093740,0.081000
700.000,0.094720,0.081000
750.000,0.095700,0.081000
800.000,0.096680,0.081000
850.000,0.097660,0.081000
900.000,0.098640,0.081000
950.000,0.099620,0.081000
1000.000,0.100600,0.081000
1050.000,0.101580,0.081000
1100.000,0.102560,0.081000
1150.000,0.103540,0.081000
1200.000,0.104520,0.081000
1250.000,0.105500,0.081000
1300.000,0.106480,0.081000
1350.000,0.107460,0.081000
1400.000,0.108440,0.081000
1450.000,0.109420,0.081000
1500.000,0.110400,0.081000
1550.000,0.111380,0.081000
1600.000,0.112360,0.081000
1650.000,0.113340,0.081000
1700.000,0.114320,0.081000
1750.000,0.115300,0.081000
1800.000,0.116280,0.081000
1850.000,0.117260,0.081000
1900.000,0.118240,0.081000
1950.000,0.119220,0.081000
2000.000,0.120200,0.081000
2050.000,0.121180,0.081000
2100.000,0.122160,0.081000
2150.000,0.123140,0.081000
2200.000,0.124120,0.081000
2250.000,0.125100,0.081000
2300.000,0.126080,0.081000
2350.000,0.127060,0.081000
2400.000,0.128040,0.081000
2450.000,0.129020,0.081000
2500.000,0.130000,0.081000
2550.000,0.129020,0.081980
2600.000,0.128040,0.082960
2650.000,0.127060,0.083940
2700.000,0.126080,0.084920
2750.000,0.125100,0.085900
2800.000,0.124120,0.086880
2850.000,0.123140,0.087860
2900.000,0.122160,0.088840
2950.000,0.121180,0.089820
3000.000,0.120200,0.090800
3050.000,0.119220,0.091780
3100.000,0.118240,0.092760
3150.000,0.117260,0.093740
3200.000,0.116280,0.094720
3250.000,0.115300,0.095700
3300.000,0.114320,0.096680
3350.000,0.113340,0.097660
3400.000,0.112360,0.098640
3450.000,0.111380,0.099620
3500.000,0.110400,0.100600
3550.000,0.109420,0.101580
3600.000,0.108440,0.102560
3650.000,0.107460,0.103540
3700.000,0.106480,0.104520
3750.000,0.105500,0.105500
3800.000,0.104520,0.106480
3850.000,0.103540,0.107460
3900.000,0.102560,0.108440
3950.000,0.101580,0.109420
4000.000,0.100600,0.110400
4050.000,0.099620,0.111380
4100.000,0.098640,0.112360
4150.000,0.097660,0.113340
4200.000,0.096680,0.114320
4250.000,0.095700,0.115300
4300.000,0.094720,0.116280
4350.000,0.093740,0.117260
4400.000,0.092760,0.118240
4450.000,0.091780,0.119220
4500.000,0.090800,0.120200
4550.000,0.089820,0.121180
4600.000,0.088840,0.122160
4650.000,0.087860,0.123140
4700.000,0.086880,0.124120
4750.000,0.085900,0.125100
4800.000,0.084920,0.126080
4850.000,0.083940,0.127060
4900.000,0.082960,0.128040
4950.000,0.081980,0.129020
5000.000,0.081000,0.130000
5050.000,0.081980,0.130000
5100.000,0.082960,0.130000
5150.000,0.083940,0.130000
5200.000,0.084920,0.130000
5250.000,0.085900,0.130000
5300.000,0.086880,0.130000
5350.000,0.087860,0.130000
5400.000,0.088840,0.130000
5450.000,0.089820,0.130000
5500.000,0.090800,0.130000
5550.000,0.091780,0.130000
5600.000,0.092760,0.130000
5650.000,0.093740,0.130000
5700.000,0.094720,0.130000
5750.000,0.095700,0.130000
5800.000,0.096680,0.130000
5850.000,0.097660,0.130000
5900.000,0.098640,0.130000
5950.000,0.099620,0.130000
6000.000,0.100600,0.130000
6050.000,0.101580,0.130000
6100.000,0.102560,0.130000
6150.000,0.103540,0.130000
6200.000,0.104520,0.130000
6250.000,0.105500,0.130000
6300.000,0.106480,0.130000
6350.000,0.107460,0.130000
6400.000,0.108440,0.130000
6450.000,0.109420,0.130000
6500.000,0.110400,0.130000
6550.000,0.111380,0.130000
6600.000,0.112360,0.130000
6650.000,0.113340,0.130000
6700.000,0.114320,0.130000
6750.000,0.115300,0.130000
6800.000,0.116280,0.130000
6850.000,0.117260,0.130000
6900.000,0.118240,0.130000
6950.000,0.119220,0.130000
7000.000,0.120200,0.130000
7050.000,0.121180,0.130000
7100.000,0.122160,0.130000
7150.000,0.123140,0.130000
7200.000,0.124120,0.130000
7250.000,0.125100,0.130000
7300.000,0.126080,0.130000
7350.000,0.127060,0.130000
7400.000,0.128040,0.130000
7450.000,0.129020,0.130000
7500.000,0.130000,0.130000
7550.000,0.129020,0.129020
7600.000,0.128040,0.128040
7650.000,0.127060,0.127060
7700.000,0.126080,0.126080
7750.000,0.125100,0.125100
7800.000,0.124120,0.124120
7850.000,0.123140,0.123140
7900.000,0.122160,0.122160
7950.000,0.121180,0.121180
8000.000,0.120200,0.120200
8050.000,0.119220,0.119220
8100.000,0.118240,0.118240
8150.000,0.117260,0.117260
8200.000,0.116280,0.116280
8250.000,0.115300,0.115300
8300.000,0.114320,0.114320
8350.000,0.113340,0.113340
8400.000,0.112360,0.112360
8450.000,0.111380,0.111380
8500.000,0.110400,0.110400
8550.000,0.109420,0.109420
8600.000,0.108440,0.108440
8650.000,0.107460,0.107460
8700.000,0.106480,0.106480
8750.000,0.105500,0.105500
8800.000,0.104520,0.104520
8850.000,0.103540,0.103540
8900.000,0.102560,0.102560
8950.000,0.101580,0.101580
9000.000,0.100600,0.100600
9050.000,0.099620,0.099620
9100.000,0.098640,0.098640
9150.000,0.097660,0.097660
9200.000,0.096680,0.096680
9250.000,0.095700,0.095700
9300.000,0.094720,0.094720
9350.000,0.093740,0.093740
9400.000,0.092760,0.092760
9450.000,0.091780,0.091780
9500.000,0.090800,0.090800
9550.000,0.089820,0.089820
9600.000,0.088840,0.088840
9650.000,0.087860,0.087860
9700.000,0.086880,0.086880
9750.000,0.085900,0.085900
9800.000,0.084920,0.084920
9850.000,0.083940,0.083940
9900.000,0.082960,0.082960
10000.000,0.081000,0.081000
